stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STOPPOINT:03617,,"l'Eglise - CAGNES-SUR-MER","",43.662192,7.150727,,,0,,,
STOPPOINT:03618,,"Mairie Annexe - VILLENEUVE-LBT","",43.642353,7.134324,,,0,STOPAREA:02106,,
STOPPOINT:03620,,"Sea Club Méridien - MONACO","",43.748171,7.435042,,,0,,,
STOPPOINT:03622,,"Emile Hugues (Abribus) - VENCE","",43.710801,7.125723,,,0,,,
STOPPOINT:03623,,"Parc Icard - VILLENEUVE-LBT","",43.662239,7.11979,,,0,STOPAREA:02106,,
STOPPOINT:03624,,"Saint Georges - VILLENEUVE-LBT","",43.659705,7.12003,,,0,,,
STOPPOINT:03627,,"Parc Icard - VILLENEUVE-LBT","",43.662101,7.119756,,,0,STOPAREA:02106,,
STOPPOINT:03628,,"Saint Georges - VILLENEUVE-LBT","",43.659414,7.120123,,,0,,,
STOPPOINT:03633,,"Moulin De Brun - GRASSE","",43.653268,6.945397,,,0,STOPAREA:02154,,
STOPPOINT:03634,,"Moulin De Brun - GRASSE","",43.65409,6.94384,,,0,STOPAREA:02154,,
STOPPOINT:03635,,"Les Poissonniers - GRASSE","",43.654198,6.937892,,,0,,,
STOPPOINT:03636,,"Les Poissonniers - GRASSE","",43.654424,6.937912,,,0,,,
STOPPOINT:03637,,"Le Canal - GRASSE","",43.653738,6.935028,,,0,,,
STOPPOINT:03638,,"Le Canal - GRASSE","",43.653921,6.934762,,,0,,,
STOPPOINT:03639,,"Les Floralies - GRASSE","",43.654102,6.9307,,,0,,,
STOPPOINT:03640,,"Les Floralies - GRASSE","",43.654234,6.930988,,,0,,,
STOPPOINT:03642,,"Sainte Marthe - GRASSE","",43.65764,6.927775,,,0,,,
STOPPOINT:03643,,"Crouet - GRASSE","",43.656705,6.924127,,,0,,,
STOPPOINT:03644,,"Victoria - GRASSE","",43.663682,6.927506,,,0,STOPAREA:02670,,
STOPPOINT:03648,,"Rastigny - GRASSE","",43.654309,6.921068,,,0,,,
STOPPOINT:03649,,"Pont Michel - NICE","",43.72262,7.289911,,,0,,,
STOPPOINT:03651,,"Espace Aventure - PEONE-VALBERG","",0.0,0.0,,,0,,,
STOPPOINT:03685,,"Antibes - Porte Marine - ANTIBES","",43.583906,7.126381,,,0,,,
STOPPOINT:03697,,"Portier - MONACO","",43.74153,7.430518,,,0,,,
STOPPOINT:03698,,"Portier - MONACO","",43.741475,7.429928,,,0,,,
STOPPOINT:03699,,"Larvotto Bay Hôtel - MONACO","",43.74958,7.439113,,,0,,,
STOPPOINT:03700,,"Larvotto Bay Hôtel - MONACO","",43.749459,7.438727,,,0,,,
STOPPOINT:03703,,"Le verger - ESCARENE (L')","",43.829475,7.366793,,,0,,,
STOPPOINT:03708,,"Carros - Le Beilouno - R - CARROS","",43.776308,7.190499,,,0,,,
STOPPOINT:03709,,"Carros - l'Aspre - A - CARROS","",43.774091,7.191066,,,0,STOPAREA:01763,,
STOPPOINT:03710,,"Médiathèque - CARROS","",0.0,0.0,,,0,,,
STOPPOINT:03711,,"Carros Pagnol - R - CARROS","",43.778702,7.18752,,,0,,,
STOPPOINT:03712,,"Carros - Saint Paul - A - CARROS","",0.0,0.0,,,0,,,
STOPPOINT:03713,,"Carros - Langevin - R - CARROS","",43.768388,7.19713,,,0,,,
STOPPOINT:03714,,"Carros - Stade de Tennis - R - CARROS","",43.766907,7.200299,,,0,STOPAREA:01882,,
STOPPOINT:03745,,"L'Eglise - TRINITE (LA)","",43.743823,7.313932,,,0,,,
STOPPOINT:03746,,"La Garde Sud - BLAUSASC","",43.804471,7.355998,,,0,,,
STOPPOINT:03747,,"Collège Rabelais - ESCARENE (L')","",43.840024,7.352584,,,0,,,
STOPPOINT:03748,,"Place De La République - LUCERAM","",43.881603,7.358643,,,0,,,
STOPPOINT:03749,,"Les Pompiers - LUCERAM","",43.880588,7.355691,,,0,,,
STOPPOINT:03750,,"Parc A Fourrage - NICE","",43.72637,7.286174,,,0,,,
STOPPOINT:03751,,"Riba Roussa - NICE","",43.733264,7.294658,,,0,,,
STOPPOINT:03756,,"Pont du Serre - ESCARENE (L')","",43.834116,7.35735,,,0,STOPAREA:02654,,
STOPPOINT:03757,,"Place Camous - ESCARENE (L')","",43.834514,7.354479,,,0,,,
STOPPOINT:03762,,"Relais Sartoux - GRASSE","",43.640885,6.983789,,,0,,,
STOPPOINT:03763,,"Relais Sartoux - GRASSE","",43.640855,6.983548,,,0,,,
STOPPOINT:03764,,"Cimetière Plascassier - GRASSE","",43.641041,6.985746,,,0,,,
STOPPOINT:03765,,"Cimetière Plascassier - GRASSE","",43.641116,6.985685,,,0,,,
STOPPOINT:03768,,"Les Etains - CHATNEUF-GRASSE","",43.640188,6.993932,,,0,STOPAREA:02159,,
STOPPOINT:03770,,"Le Riou - CHATNEUF-GRASSE","",43.641786,6.99875,,,0,,,
STOPPOINT:03771,,"Le Riou - CHATNEUF-GRASSE","",43.641786,6.99875,,,0,STOPAREA:01708,,
STOPPOINT:03772,,"Village - VALBONNE","",43.64265,7.007113,,,0,STOPAREA:01708,,
STOPPOINT:03812,,"La Ferrage - R - CANNES","",43.553277,7.013486,,,0,,,
STOPPOINT:03813,,"Pont Carnot - R - CANNES","",43.553676,7.016359,,,0,STOPAREA:03993,,
STOPPOINT:03833,,"Chez Robert - GRASSE","",43.639859,6.975375,,,0,,,
STOPPOINT:03835,,"Carignan - GRASSE","",43.644377,6.977983,,,0,,,
STOPPOINT:03836,,"Les Lavandières - GRASSE","",43.641528,6.979758,,,0,,,
STOPPOINT:03838,,"Plascassier Village - GRASSE","",43.643125,6.976087,,,0,,,
STOPPOINT:03840,,"Espace Chiris - GRASSE","",43.657438,6.928182,,,0,,,
STOPPOINT:03841,,"La Provence - GRASSE","",43.65643,6.925557,,,0,,,
STOPPOINT:03864,,"Mairie - TURBIE (LA)","",43.745217,7.399758,,,0,STOPAREA:00914,,
STOPPOINT:03869,,"Place Ste Dévote (SNCF) - MONACO","",43.736735,7.421042,,,0,,,
